G30,L30,NO
raceAsian,0,0,0
raceCaucasian,0.00366231354338001,0,-0.00474626701073255
raceHispanic,0,0,0
raceMissing,0,0,0.00141784024116972
raceOther,0,0,0
genderMale,0,0,0
age[30-60),-4.49497093805688e-05,-0.00230227650263009,0.00874713410787983
age[60-100),0.00490351860331402,0.00239877352105046,-0.0120519553554747
admission_typeEmergency,0.00116989016364095,0,-0.0059998136249799
admission_typeNewborn,0,0,0
admission_typeNot_Available,0,0,0
admission_typeNot_Mapped,0,0,0
admission_typeNULL,0.00201565716894031,0,-0.000415345114723154
admission_typeTrauma_Center,0,0,0
admission_typeUrgent,0,0,0
discharge_dispositionTo_home,0,-0.107854465492404,0.0184405562662883
admission_sourceOtherwise,-0.0179971900408949,0,0.0155447480922589
admission_sourcePhysician/Clinical_Referal,-0.0146579665620216,0,0.0148013962149572
time_in_hospital,0.0204434790620352,0.079703235827038,-0.039208324548948
medical_specialtyFamily/GeneralPractice,0,0,0
medical_specialtyInternalMedicine,0,0,0
medical_specialtyMissing,0.0103764236436441,0,-0.0118824959902764
medical_specialtyOther,0,0,0
medical_specialtySurgery,0,0,0
num_lab_procedures,0.0194396239469685,0.012160008240201,-0.0239800023724062
num_procedures,-0.024758191772101,0,0.0163714999138685
num_medications,0.0331620149440699,0.0814762343768175,-0.0481870467594812
num_inpatient,0.357791996517275,0.630656631794985,-0.385914398958823
diag_1Diab.,0,0,0
diag_1Diges.,0,0,0
diag_1Geni.,0,0,0
diag_1Inj.,0,0,0
diag_1Musc.,0,0,0.00156537220230196
diag_1Neop.,-0.00141590806820417,0,0.00108982896333438
diag_1Other,0,0,0
diag_1Resp.,0.00576573474194635,0,0
diag_2Diab.,0,0,0.000387561568308931
diag_2Diges.,0,0,0
diag_2Geni.,0,0,0
diag_2Inj.,0,0,0
diag_2Musc.,0,0,0
diag_2Neop.,0,0,0
diag_2Other,0,0,0
diag_2Resp.,0,0,0
diag_3Diab.,0,0,0
diag_3Diges.,0,0,0
diag_3Geni.,0,0,0
diag_3Inj.,0,0,0
diag_3Musc.,0,0,0
diag_3Neop.,0,0,0
diag_3Other,0,0,0
diag_3Resp.,0,0,0
num_diagnoses,0.0806229525923372,0.0767888467975648,-0.0792574104999915
max_glu_serumG300,0,0,0
max_glu_serumNone,0,0,0
max_glu_serumNorm,0,0,0
A1Cresult>8,0,0,0
A1CresultNone,0,0,-0.000125480608466229
A1CresultNorm,0,0,0
metforminNo,0,0.0024270365280626,-0.00675310743323809
metforminSteady,0,0,0.00488118265848191
metforminUp,0,0,0
repaglinideNo,0,0,0
repaglinideSteady,0,0,0
repaglinideUp,0,0,0
glimepirideNo,0,0,0
glimepirideSteady,0,0,0
glimepirideUp,0,0,0
glipizideNo,0,0,0
glipizideSteady,0,0,0
glipizideUp,0,0,0
glyburideNo,0,0,0
glyburideSteady,0,0,0
glyburideUp,0,0,0
pioglitazoneNo,0,0,0
pioglitazoneSteady,0,0,0
pioglitazoneUp,0,0,0
rosiglitazoneNo,0,0,0
rosiglitazoneSteady,0,0,0
rosiglitazoneUp,0,0,0
insulinNo,-0.00412493643678174,-0.0228874023060333,0.0159392387906892
insulinSteady,0,0,0
insulinUp,0.00141967962915214,0,-0.00750124261087546
changeNo,-0.0089732287983284,0,0.0128490778874423
diabetesMedYes,0.0163727965063726,0.00399817080867264,-0.0201488750414688
